,topic_id,filename,header,section_text,Document,Question,Answer
0,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Hoe kunt u contact opnemen met het ziekenhuis na de operatie?,U kunt tijdens kantooruren contact opnemen met het secretariaat van de chirurgen op 088 708 52 31 of 088 708 52 32.
1,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Wat te doen als u na de operatie thuis nog vragen heeft?,"Als u na de operatie thuis nog vragen heeft of problemen ondervindt, neem dan contact op met het ziekenhuis."
2,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Welk telefoonnummer moet u bellen als u na de operatie thuis nog vragen heeft?,U kunt tijdens kantooruren contact opnemen met het secretariaat van de chirurgen op 088 708 52 31 of 088 708 52 32.
3,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Met wie kunt u tijdens kantooruren contact opnemen in geval van vragen of problemen na de operatie?,U kunt tijdens kantooruren contact opnemen met het secretariaat van de chirurgen.
4,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Wat is het telefoonnummer van het secretariaat van de chirurgen?,Het telefoonnummer van het secretariaat van de chirurgen is 088 708 52 31 of 088 708 52 32.
5,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Kan ik thuis problemen ondervinden na een schildklieroperatie?,"Ja, het is mogelijk om thuis problemen te ondervinden na een schildklieroperatie."
6,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Wanneer moet ik contact opnemen met het ziekenhuis na een schildklieroperatie?,"Als u thuis vragen heeft of problemen ervaart na de schildklieroperatie, kunt u tijdens kantooruren contact opnemen met het secretariaat van de chirurgen."
7,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Hoe kan ik contact opnemen met het secretariaat van de chirurgen na een schildklieroperatie?,U kunt tijdens kantooruren contact opnemen met het secretariaat van de chirurgen door te bellen naar 088 708 52 31 of 088 708 52 32.
8,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Wat moet ik doen als ik buiten kantooruren vragen of problemen heb na een schildklieroperatie?,"Als u buiten kantooruren vragen heeft of problemen ervaart, kunt u contact opnemen met de spoedeisende hulp van het ziekenhuis."
9,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.","0.0: Schildklieroperatie: Vragen: Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Wat is het telefoonnummer van de spoedeisende hulp van het ziekenhuis?,Het telefoonnummer van de spoedeisende hulp van het ziekenhuis is 088 708 52 23.
